,date,day,filename,flag,id,keywords,link,month,place,publisher,year
5689,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T03:52:52+05:30->20692.txt,0,20692,[],http://timesofindia.indiatimes.com//city/mumbai/maharashtra-may-frame-sex-change-policy-for-govt-staff/articleshow/62687127.cms,01,mumbai,TOI,2018
5690,2018/01/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-28T09:03:05+05:30->20269.txt,0,20269,[],http://timesofindia.indiatimes.com//city/kohima/defer-polls-apex-naga-body-tells-ec/articleshow/62678637.cms,01,kohima,TOI,2018
5691,2018/01/04,04,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-04T07:26:13+05:30->2626.txt,0,2626,[],http://timesofindia.indiatimes.com//city/goa/mig-veers-off-goa-runway-bursts-into-flames-trainee-pilot-escapes/articleshow/62358169.cms,01,dabolim,TOI,2018
5692,2018/01/04,04,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-04T02:00:06+05:30->2397.txt,0,2397,[],http://timesofindia.indiatimes.com//city/mumbai/90-buses-damaged-in-rioting-best-suffers-revenue-loss-of-rs-2cr/articleshow/62358754.cms,01,mumbai,TOI,2018
5693,2018/01/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-28T13:09:16+05:30->20453.txt,0,20453,[],http://timesofindia.indiatimes.com//city/jaipur/showstoppers-at-their-best-on-last-day-of-campaign/articleshow/62680628.cms,01,ajmer,TOI,2018
5694,2018/01/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-28T14:12:37+05:30->20491.txt,0,20491,[],http://timesofindia.indiatimes.com//india/nia-takes-kashmir-terror-financing-case-from-delhi-police/articleshow/62681012.cms,01,NA,TOI,2018
5695,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T14:04:42+05:30->21253.txt,0,21253,[],http://timesofindia.indiatimes.com//city/bhopal/five-mp-players-to-join-ipl-action-this-year/articleshow/62693463.cms,01,bhopal,TOI,2018
5696,2018/01/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-01T06:24:24+05:30->282.txt,0,282,[],http://timesofindia.indiatimes.com//city/bengaluru/woman-ends-life-as-boyfriend-reneges-on-marriage-promise/articleshow/62320616.cms,01,bengaluru,TOI,2018
5697,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T14:25:03+05:30->1389.txt,0,1389,[],http://timesofindia.indiatimes.com//business/faqs/income-tax-faqs/elss-is-great-for-tax-saving-but-keep-these-5-points-in-mind/articleshow/62335579.cms,01,NA,TOI,2018
5698,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T19:51:52+05:30->22476.txt,0,22476,[],http://timesofindia.indiatimes.com//home/science/sky-enthusiasts-gear-up-to-watch-super-blue-blood-moon-eclipse/articleshow/62718701.cms,01,NA,TOI,2018
